Device Name,Z-7007S,Z-7012S,Z-7014S,Z-7010,Z-7015,Z-7020,Z-7030,Z-7035,Z-7045,Z-7100
Peripherals w/ built-in DMA,"2x USB 2.0 (OTG), 2x Tri-mode Gigabit Ethernet, 2x SD/SDIO",,,,,,,,,
Security,"RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot","RSA Authentication of First Stage Boot Loader,
AES and SHA 256b Decryption and Authentication for Secure Boot"
"Processing System to
Programmable Logic Interface Ports
(Primary Interfaces & Interrupts Only)","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave","2x AXI 32b Master, 2x AXI 32b Slave"
7 Series PL Equivalent,Artix-7,Artix-7,Artix-7,Artix-7,Artix-7,Artix-7,Kintex-7,Kintex-7,Kintex-7,Kintex-7
Logic Cells,23K,55K,65K,28K,74K,85K,125K,275K,350K,444K
Look-Up Tables (LUTs),14400,34400,40600,17600,46200,53200,78600,171900,218600,277400
Flip-Flops,28800,68800,81200,35200,92400,106400,157200,343800,437200,554800
,,,,,,,,,,
,,,,,,,,,,
Maximum Distributed RAM (Kb),,,,,,,,,,
Block RAM/FIFO w/ ECC (36 Kb each),,,,,,,,,,
Total Block RAM (Kb),,,,,,,,,,
 CMTs (1 MMCM + 1 PLL),,,,,,,,,,
Maximum Single-Ended I/O,,,,,,,,,,
Maximum Differential I/O Pairs,,,,,,,,,,
DSP Slices,,,,,,,,,,
PCIe Gen2,,,,,,,,,,
PCIe Gen3,,,,,,,,,,
 Analog Mixed Signal (AMS) / XADC,,,,,,,,,,
Configuration AES / HMAC Blocks,,,,,,,,,,
GTP Transceivers (6.6 Gb/s Max Rate),,,,,,,,,,
GTX Transceivers (12.5 Gb/s Max Rate),,,,,,,,,,
GTH Transceivers (13.1 Gb/s Max Rate),,,,,,,,,,
GTZ Transceivers ( 28.05 Gb/s Max Rate),,,,,,,,,,
Commercial Temp (C),,,,,,,,,,
Extended Temp (E),,,,,,,,,,
Industrial Temp (I),,,,,,,,,,
